query_id,query_text,query_type,gold_ids,relevance_grade,notes
Q056,"地理模拟优化模型调用(GeoSOS) (国产模型培训班专用)中的资源调度策略如何配置？",Parameter,"[""7816289d145500fe9bfb6138ad6cd944""]",2,
Q057,"UrbanM2M城市扩张模拟模型在多智能体城市增长中的应用研究",Academic,"[""91ba158741b1040f05a7b6be78596265""]",2,
Q058,"我想预测未来城市会往哪里扩张",Colloquial,"[""91ba158741b1040f05a7b6be78596265""]",2,
Q059,"Urben M2M模型支持多情景模拟吗？",Typo/Abbr,"[""91ba158741b1040f05a7b6be78596265""]",1,
Q060,"UrbanM2M城市扩张模拟模型中的Input_land_demands参数如何设置？",Parameter,"[""91ba158741b1040f05a7b6be78596265""]",2,
Q061,"CO2浓度计算模型-V2版本在区域碳循环评估中的应用",Academic,"[""008057c6f7dbbc4d72239c4d320faef4""]",2,
Q062,"我想估算一个区域的二氧化碳浓度变化",Colloquial,"[""008057c6f7dbbc4d72239c4d320faef4""]",2,
Q063,"CO2 V2版本和旧版结果差异大吗？",Typo/Abbr,"[""008057c6f7dbbc4d72239c4d320faef4""]",1,
Q064,"CO2浓度计算模型-V2版本中的排放因子参数如何设定？",Parameter,"[""008057c6f7dbbc4d72239c4d320faef4""]",2,
Q065,"Morisita-Horn指数模型在群落相似性分析中的应用研究",Academic,"[""47d862107a462538f6366b9e2240e6c0""]",2,
Q066,"我想比较两个区域的物种组成差异",Colloquial,"[""47d862107a462538f6366b9e2240e6c0""]",2,
Q067,"Morisita Horn指数取值范围是多少？",Typo/Abbr,"[""47d862107a462538f6366b9e2240e6c0""]",1,
Q068,"Morisita-Horn指数模型中的样本数量需要统一吗？",Parameter,"[""47d862107a462538f6366b9e2240e6c0""]",2,
Q069,"基于SWAT_Model与SEIMS的流域水文模拟性能对比研究",Academic,"[""d9d48eb948e7a36006c7d04d702c3fbb"",""aa06735165c167207d1b74aca729ae9d""]",2,
Q070,"哪个模型更适合做黄河流域水文模拟？",Colloquial,"[""d9d48eb948e7a36006c7d04d702c3fbb"",""aa06735165c167207d1b74aca729ae9d""]",1,
Q071,"SWAT和SEIMS哪个运行速度更快？",Typo/Abbr,"[""d9d48eb948e7a36006c7d04d702c3fbb"",""aa06735165c167207d1b74aca729ae9d""]",1,
Q072,"SWAT_Model与SEIMS的DEM分辨率要求是否一致？",Parameter,"[""d9d48eb948e7a36006c7d04d702c3fbb"",""aa06735165c167207d1b74aca729ae9d""]",2,
Q073,"UrbanM2M城市扩张模拟模型与UrabnVCA的协同城市研究框架",Academic,"[""91ba158741b1040f05a7b6be78596265"",""427471269c56285cef596fd31f02491a""]",2,
Q074,"能不能同时分析城市扩张和街景活力？",Colloquial,"[""91ba158741b1040f05a7b6be78596265"",""427471269c56285cef596fd31f02491a""]",2,
Q075,"UrbanM2M和VCA数据格式兼容吗？",Typo/Abbr,"[""91ba158741b1040f05a7b6be78596265"",""427471269c56285cef596fd31f02491a""]",1,
Q076,"UrbanM2M城市扩张模拟模型输出结果能直接给UrabnVCA使用吗？",Parameter,"[""91ba158741b1040f05a7b6be78596265"",""427471269c56285cef596fd31f02491a""]",2,
Q077,"SWMM与Jiangsu Coastal Storm Surge Mathematical Model在沿海洪涝耦合中的应用",Academic,"[""387e28f188717c4745a071356839ecb0"",""03c36365e5e3220e3e64d4dde3b9bba5""]",2,
Q078,"我想同时模拟暴雨积水和海潮顶托",Colloquial,"[""387e28f188717c4745a071356839ecb0"",""03c36365e5e3220e3e64d4dde3b9bba5""]",2,
Q079,"SWMM能和storm surge模型联动吗？",Typo/Abbr,"[""387e28f188717c4745a071356839ecb0"",""03c36365e5e3220e3e64d4dde3b9bba5""]",1,
Q080,"SWMM与Jiangsu Coastal Storm Surge Mathematical Model的时间步长如何统一？",Parameter,"[""387e28f188717c4745a071356839ecb0"",""03c36365e5e3220e3e64d4dde3b9bba5""]",2,
Q081,"AlexNet与人工神经网络在遥感分类中的特征表达能力比较",Academic,"[""9f03cfb3b0491532bcf210ef331605e6"",""194d22bf754d90dba57832837a650986""]",2,
Q082,"传统神经网络和AlexNet哪个更适合遥感分类？",Colloquial,"[""9f03cfb3b0491532bcf210ef331605e6"",""194d22bf754d90dba57832837a650986""]",1,
Q083,"AlexNet比ANN准确率高多少？",Typo/Abbr,"[""9f03cfb3b0491532bcf210ef331605e6"",""194d22bf754d90dba57832837a650986""]",1,
Q084,"AlexNet和人工神经网络训练时学习率应该如何设置？",Parameter,"[""9f03cfb3b0491532bcf210ef331605e6"",""194d22bf754d90dba57832837a650986""]",2,
Q085,"WATLAC与TaiHu_Fvcom在湖泊水环境模拟中的耦合研究",Academic,"[""d852c0d6031104d83cdc761beed25efa"",""635be2b2cb97a21a3b2515c397a4c7cc""]",2,
Q086,"我想同时分析太湖水动力和水质变化",Colloquial,"[""d852c0d6031104d83cdc761beed25efa"",""635be2b2cb97a21a3b2515c397a4c7cc""]",2,
Q087,"TaiHu_Fvcom和WATLAC输出格式兼容吗？",Typo/Abbr,"[""d852c0d6031104d83cdc761beed25efa"",""635be2b2cb97a21a3b2515c397a4c7cc""]",1,
Q088,"WATLAC能直接读取TaiHu_Fvcom的流场结果吗？",Parameter,"[""d852c0d6031104d83cdc761beed25efa"",""635be2b2cb97a21a3b2515c397a4c7cc""]",2,
Q089,"Groundwater model of fractured karst aquifer与GBHM（国产模型培训班专用）的地表地下水耦合研究",Academic,"[""a391d76a16cf59adbf41bc94b3501680"",""00ac830b4da73eab8d482b2f11b537db""]",2,
Q090,"能不能同时模拟地表径流和地下水？",Colloquial,"[""a391d76a16cf59adbf41bc94b3501680"",""00ac830b4da73eab8d482b2f11b537db""]",2,
Q091,"GBHM和地下水模型时间尺度怎么统一？",Typo/Abbr,"[""a391d76a16cf59adbf41bc94b3501680"",""00ac830b4da73eab8d482b2f11b537db""]",1,
Q092,"Groundwater model of fractured karst aquifer与GBHM的数据交换格式是什么？",Parameter,"[""a391d76a16cf59adbf41bc94b3501680"",""00ac830b4da73eab8d482b2f11b537db""]",2,
Q093,"SEIMS与Hydromad在流域模型率定效率上的比较研究",Academic,"[""aa06735165c167207d1b74aca729ae9d"",""35c79a50986705209550429a2b1e23f5""]",2,
Q094,"哪个水文模型更适合快速实验？",Colloquial,"[""aa06735165c167207d1b74aca729ae9d"",""35c79a50986705209550429a2b1e23f5""]",1,
Q095,"Hydromad比SEIMS更容易上手吗？",Typo/Abbr,"[""aa06735165c167207d1b74aca729ae9d"",""35c79a50986705209550429a2b1e23f5""]",1,
Q096,"SEIMS和Hydromad的输入降雨数据格式是否兼容？",Parameter,"[""aa06735165c167207d1b74aca729ae9d"",""35c79a50986705209550429a2b1e23f5""]",2,
Q097,"AlexNet与Semantic Segmentation on MIT ADE20K dataset在遥感场景解析中的比较研究",Academic,"[""9f03cfb3b0491532bcf210ef331605e6"",""2c1ed60a8541c1b489b5c757ac250bd7""]",2,
Q098,"图像分类和语义分割哪个更适合遥感解译？",Colloquial,"[""9f03cfb3b0491532bcf210ef331605e6"",""2c1ed60a8541c1b489b5c757ac250bd7""]",1,
Q099,"AlexNet能做像素级分类吗？",Typo/Abbr,"[""9f03cfb3b0491532bcf210ef331605e6"",""2c1ed60a8541c1b489b5c757ac250bd7""]",0,
Q100,"Semantic Segmentation on MIT ADE20K dataset输出结果能否用于AlexNet再训练？",Parameter,"[""9f03cfb3b0491532bcf210ef331605e6"",""2c1ed60a8541c1b489b5c757ac250bd7""]",2,
